Sales,Profit,Quantity
1902,-1011,9
528,-2346,9
335,3713,9
6349,326,7
333,-2081,2
3661,2939,11
4378,5205,5
2667,4526,10
10051,5764,13
6009,2396,11
5738,1261,7
1212,504,7
6342,1465,1
8896,2806,1
11625,4568,11
6748,3880,5
2262,4800,12
10212,2584,13
4782,-2046,1
6414,5250,2
6537,-658,4
4425,-2651,1
11570,5345,2
11325,4079,14
5648,2404,1
9673,4,11
10735,2138,14
4028,1537,10
8489,1399,10
5167,1955,11
5131,-1625,5
2569,1788,11
7241,522,9
3832,2227,4
2401,4413,7
7671,3302,3
5779,-477,11
11890,680,11
10161,1354,4
4658,4640,14
4911,1294,9
9476,-2799,6
6249,3019,10
9186,4596,7
4642,3383,9
11833,-2844,12
11631,3330,9
11926,2077,3
9735,2424,5
6144,-1352,7
9503,-1252,3
11614,-1959,2
7649,-18,3
2811,5855,1
11671,5722,13
7915,1702,8
1174,-1669,7
5489,3943,8
7512,1481,13
8997,-2557,12
9336,-869,13
1140,4137,1
9357,1898,2
264,-2728,10
11123,5778,9
1723,-1694,9
1504,3862,6
11859,-1627,9
4781,2267,1
366,-325,8
11987,3565,1
1000,5553,12
10346,2239,9
4250,4888,12
1515,4167,1
7831,814,10
11642,3097,4
638,3204,9
9271,-1633,1
4579,3067,3
5,3509,3
2647,167,11
5092,-2130,4
2317,5037,11
966,2162,9
1644,1422,14
10138,-160,11
1612,3258,12
9551,-2443,6
5639,-2714,7
11102,1863,9
3645,2271,12
4950,-491,9
1025,5718,13
10584,2870,8
1902,-2742,1
5396,5377,11
4385,5206,9
10544,5694,9
2709,4184,13
781,-541,11
1548,-3025,10
6020,-2899,9
4923,4753,9
11275,-2312,4
5912,204,4
7370,-1418,2
7540,-2703,11
8005,-717,14
7040,3976,8
11415,4661,7
9652,872,13
11106,-2218,8
4114,3028,6
3106,5552,2
3448,5227,2
495,-176,6
782,3241,10
8090,5172,11
644,2477,5
9719,-1992,6
1307,1854,1
10866,4591,3
251,4672,10
4557,3982,2
308,2893,11
3232,-2255,9
10430,-835,5
9792,4050,2
10155,718,13
34,-1754,9
9585,-3067,6
7163,1557,3
11290,-2675,4
4397,1859,7
333,1522,3
5760,1000,5
7984,2673,7
2173,-1979,9
4065,1988,12
6958,-1651,8
161,-975,3
8890,-2274,3
633,-1598,4
10199,3136,12
8450,5781,8
4631,4862,11
2082,2944,11
6489,-1740,9
10279,93,1
4889,-564,7
1176,2976,6
3093,2093,4
2669,-188,10
5318,1637,11
2794,3606,6
7437,4063,2
7951,3497,7
2722,4456,4
1067,2364,14
3353,3593,12
7953,-1174,8
9531,5554,1
8897,5567,13
4280,-3197,9
10863,4951,3
8417,5343,10
10871,-2011,9
2096,3985,1
11005,1336,12
7272,3905,10
5231,1098,4
9583,951,5
2421,5376,12
1470,-1594,4
6182,-961,10
1882,5799,3
7616,1487,3
1833,1370,5
838,5581,3
8628,-2064,12
9905,5832,12
10924,5820,4
6727,2522,9
1466,1172,9
3897,3139,9
7515,5947,9
8114,-3110,2
2781,-3226,13
4108,697,11
10514,-2980,4
5869,2060,4
2042,-2425,13
4490,4177,3
7686,661,10
5085,-1511,3
3372,-164,2
11384,1689,4
2788,4018,4
2713,-1892,1
1571,4469,4
6709,-2404,14
4821,5754,13
3078,-1553,10
3711,4562,1
762,3876,1
7771,216,14
7719,-1012,1
2653,-121,9
3267,1729,13
2423,-1702,2
8600,3962,6
6553,1954,13
9168,5211,4
10067,3449,4
10795,3028,13
1488,4913,12
11221,2049,7
3708,2400,1
8701,-595,12
3350,159,9
617,-1624,1
7146,1230,13
10829,125,12
2971,5015,2
4418,-33,5
866,89,5
1897,4197,11
156,3344,11
7903,5219,1
4974,886,14
5596,-2559,12
6887,3793,13
2197,2118,8
4817,1185,12
9184,-2775,6
10248,1578,5
6241,5092,11
7477,-353,1
7210,4260,6
4928,3895,3
9235,-946,2
6269,-1217,5
4123,5956,6
1436,5966,3
526,-1021,10
11474,-1417,5
7069,-74,7
7132,-2724,4
3112,-1386,5
1776,4558,6
8225,-1819,5
9318,-1611,10
4334,5534,5
4878,1194,2
1105,656,14
499,-2487,1
10919,403,6
6512,153,5
10074,4964,10
962,5206,1
3277,5907,5
7882,1394,12
2309,3719,13
8059,1961,12
4116,1769,14
644,732,13
1777,-1328,8
5699,-1814,5
910,328,6
7965,-316,14
9456,3678,3
4309,-2962,7
936,1117,1
6326,-2570,10
3633,5925,12
801,3005,13
11133,-490,6
9440,766,2
832,5142,14
11575,-2264,5
11997,-1889,13
3831,1074,8
6404,-2440,8
3688,1909,12
3993,1873,5
4081,2425,13
9036,-2443,8
8162,3721,11
7357,2706,13
5797,-475,6
11347,-204,8
10603,4589,5
5220,-2556,5
11161,-801,12
4889,2365,3
11908,-2559,1
1350,3906,13
6683,2917,13
2453,-1435,9
2524,-2589,9
2755,113,9
7166,3906,9
2796,-705,8
1252,4982,13
11133,1228,14
5112,2379,5
744,-180,6
5406,1048,10
160,-143,10
4770,-853,7
4363,45,14
686,294,7
645,-3113,5
2724,5495,8
9833,5854,12
8614,-2474,10
1781,3854,6
2906,93,5
8968,5570,12
366,-2375,12
1851,219,4
925,-1003,2
4788,3832,2
5156,-1593,7
2692,5823,14
3048,-1039,11
4476,2721,4
10940,-2086,1
7975,2566,12
5562,3331,5
10027,-1551,5
6919,973,7
747,1566,2
130,5757,3
1632,-930,9
4893,4869,12
3261,1811,11
7601,-2268,7
1710,1109,10
10235,-375,1
6901,3534,12
134,672,11
3053,482,6
7414,-1074,8
3746,2832,6
2002,3753,14
7538,4912,13
9845,-2915,7
9729,-2635,14
2509,-2058,12
4566,1625,6
11560,-1571,2
2304,-2738,8
7786,-1178,12
4937,-2235,4
4816,5379,10
11496,-2590,13
11195,-1068,11
3689,1248,9
8278,3578,7
8737,-3096,6
8174,-1978,13
10097,2515,10
1720,-3190,10
4328,-211,12
10722,-1596,11
3562,719,11
6964,5581,14
5728,3033,12
1957,5052,13
7485,-1667,7
11239,4800,7
3543,2779,10
5524,1865,5
156,-107,10
4449,1789,12
3318,3128,12
3286,-1693,12
8638,3153,4
3186,-26,1
4676,5522,9
1089,-359,3
8408,1549,2
11858,2678,6
3282,5849,2
7899,745,12
1743,4272,1
10027,5438,5
550,3286,14
8451,-2112,6
10666,543,3
9279,3827,11
11048,2529,8
3984,3790,2
10908,3203,7
5928,-2777,8
8592,3127,14
1746,2054,12
10502,5641,4
11133,5405,6
11789,4584,14
9308,-2618,11
5498,-3199,5
4742,-3035,6
8837,-2767,2
5767,-986,4
1822,3750,4
9066,2725,10
288,3788,12
4214,3405,8
2379,1931,12
1688,-2616,4
11233,2278,1
8814,3024,3
9865,-41,8
342,3241,3
6265,3676,12
1470,-3273,1
5807,-1706,6
8562,3221,6
11415,-239,11
8256,-2486,2
1627,-136,2
9667,129,11
2953,3513,5
4031,-664,1
4501,847,9
7074,3074,1
11394,2018,6
3718,2913,6
4984,2266,5
2865,1182,12
9856,-1763,10
4652,2779,5
6634,1502,12
10913,4655,2
6310,-953,5
6672,2926,13
6850,59,2
7203,1633,4
251,2266,2
11324,-585,4
4676,-2273,8
4932,2453,14
7447,-2200,1
2531,2489,14
4776,3470,4
6312,1884,14
845,5757,2
2232,5268,3
2804,-1921,14
10483,2191,14
1302,-2640,6
2661,1746,4
9970,4766,14
858,4509,12
11147,-347,11
8310,5967,2
2189,4520,10
1964,-1683,14
11110,-1935,1
735,2463,5
7545,-291,1
1720,5167,11
9183,5399,3
8910,-2497,12
7975,1703,3
4955,1827,7
6590,-720,8
5118,4296,1
8796,685,7
11574,-582,11
710,4783,1
11990,894,9
7079,5076,10
10954,-1917,9
3648,-1084,2
10151,1145,11
10921,5581,11
9127,-1256,12
3481,-968,14
463,-1419,13
10180,-3199,11
7959,1448,9
3557,4859,2
7503,5228,10
7737,-227,6
8733,-123,2
9788,-931,13
3486,-2444,5
10323,5061,6
10455,1457,8
5799,4210,3
8942,-1378,13
11476,-3072,12
6473,-2989,5
10937,3936,13
4890,4229,3
7388,-2197,2
6019,-2803,13
5464,-1884,11
9666,4531,14
927,5172,11
952,622,7
2338,3002,9
8978,4200,7
6,-2759,5
5562,4212,6
13,-1094,12
543,-2094,7
5366,5085,6
9844,4342,2
712,3493,10
8008,4382,10
4362,-1489,7
1812,587,9
8510,-2804,12
7032,3983,6
8296,-2990,7
11444,4530,3
3804,330,3
4021,5641,2
10397,2451,9
8945,3527,4
284,4197,10
10933,664,13
2431,2098,5
8324,3336,4
1860,1797,2
5693,750,4
2231,3506,12
2261,4255,8
868,-61,1
10117,-1033,1
4748,1048,12
10867,-996,8
8133,4594,6
9174,1081,6
4278,1053,13
5503,-2522,3
5912,-1160,5
2409,4283,4
9996,-1333,6
5996,4393,4
6360,-2713,3
2533,188,11
792,3637,3
6791,2379,9
4575,128,7
10860,2008,10
3912,5152,4
4059,3497,11
9394,5646,6
7848,-1899,5
7259,-205,6
11150,5286,13
9483,-2779,6
4498,3450,13
9497,1334,4
4582,-3237,14
6378,1122,4
4421,857,8
5785,3686,6
5527,4238,14
11360,4008,8
9540,2956,10
1551,-1602,9
373,1138,11
3476,3371,14
9073,312,11
2929,-392,6
8345,-2434,11
8165,20,4
9814,-2803,3
9836,3124,9
6937,4490,2
2424,447,14
7870,5904,7
10874,2642,14
10079,-948,9
7646,1571,11
10330,1454,11
7915,692,7
9262,2888,7
2627,4671,9
3282,3974,12
5458,-13,4
5489,1123,9
7183,-3183,6
1977,1136,3
4725,491,9
8478,-2491,1
5786,991,8
9334,-1565,4
8882,626,14
11919,-1381,13
4207,-1083,3
8553,-3186,13
2530,476,13
3724,2699,12
11691,5138,5
2256,3327,9
444,5280,13
2463,4770,10
415,4618,14
9021,-458,13
3938,374,12
5084,383,3
4661,2142,3
2238,-2470,13
10676,5806,5
6131,4987,10
7288,4595,11
10712,-1101,13
11089,1011,6
10583,-783,14
5571,-1331,5
4463,-2814,11
2317,457,4
211,3773,8
4037,859,2
7265,2152,11
7261,3375,6
9041,819,14
613,-2699,2
172,-544,13
5550,5334,6
871,-2634,1
2666,2943,1
11419,793,9
1758,864,3
10606,1478,4
885,1163,8
155,962,6
2184,5230,14
11624,2741,2
4535,-2788,6
10301,2332,12
7408,4728,11
11189,4582,1
6510,2531,2
7953,5508,4
3231,3097,9
272,5601,5
10151,2107,10
2127,4327,9
7148,56,10
3146,634,13
1024,4077,8
1584,3063,11
7635,1087,7
715,-112,4
4086,-1438,5
7596,-2033,4
4822,-507,11
1332,4319,5
7798,358,13
1954,3181,2
10275,-1842,11
11437,60,13
487,4366,10
10092,-3218,2
7086,-716,4
11528,5536,12
7110,2210,5
1952,-876,1
10748,3324,2
11902,4826,12
1699,595,13
3451,5768,4
8175,-235,8
5269,-1651,3
1562,5976,1
9943,-11,13
2023,2628,10
4515,97,14
9136,4521,12
366,-2373,2
3767,-39,11
4802,5162,7
5606,-1571,11
7036,1562,10
10632,4188,9
5245,-1431,5
7477,-2628,14
11891,598,6
11679,-487,1
1875,1748,9
4366,-762,1
3386,-304,3
4917,2668,11
5333,2630,3
6136,2610,2
1758,3666,11
5489,2433,14
6639,2945,2
871,-2021,9
5412,5934,8
6540,-2266,8
11589,4560,10
3844,1820,8
7091,5201,3
3352,-2310,12
11397,3231,9
5912,2067,2
1870,5882,6
9072,5848,10
5978,5392,11
8438,998,1
6288,3728,8
10240,2390,3
3637,5586,10
7644,5380,12
3787,-315,7
5875,1592,6
2816,3614,1
348,-2015,9
3989,-2824,3
11071,4167,7
8554,4150,9
4639,2307,8
10425,2308,4
2048,2487,6
5163,-2924,7
11688,3053,1
7940,-1477,6
10969,-2497,14
11110,2695,9
5380,1292,3
8666,2959,2
8398,-767,14
3071,-1060,3
11162,1550,9
9546,-1466,7
6603,949,14
4536,4322,13
657,794,1
2005,-2238,5
1483,-2815,12
10311,-2786,4
11617,-570,8
7076,1222,14
4535,4262,10
4457,3330,14
7752,-2676,6
8317,1785,10
10073,846,9
1945,-979,8
6319,-2378,7
11547,2533,3
3394,-844,1
8245,-2373,3
8422,3227,5
11991,391,10
11152,946,5
9525,1317,11
4487,-2514,6
5839,-2035,12
1445,-1233,6
3877,3174,2
10856,-2386,3
5166,1852,5
10274,869,8
8241,2723,8
10675,-1115,13
6710,2620,14
7913,5723,12
8177,-1940,5
3748,4439,5
9963,-1386,1
7860,1993,6
7003,4654,14
10779,5616,1
8643,-1940,10
11858,3240,11
8004,-2890,9
159,2032,14
10067,-1339,10
5977,-1071,5
4062,-1581,12
5295,331,9
10900,4710,9
6546,4883,14
5733,1537,14
2795,1733,11
6392,-81,10
1419,721,13
6955,-2792,13
10380,-1224,6
9675,2508,1
7220,384,5
7938,-3055,8
7250,1132,11
5692,1125,2
10879,5707,5
629,-882,4
191,-905,8
7292,5285,8
11524,-1268,2
4953,1336,3
743,-138,4
2113,343,7
1221,-11,5
5009,-1987,7
11552,5560,5
4515,780,11
4844,-1983,12
11641,306,3
5597,3160,13
7107,2152,7
5982,298,4
8234,-2209,7
7969,2951,10
10627,673,8
8731,-1441,12
7278,-2946,1
9832,3107,11
4883,-1611,11
11607,4490,5
621,-1353,12
10405,2662,4
4719,4349,2
7720,-1303,8
7662,4101,3
8177,3150,13
10158,510,6
7467,5638,4
3538,-1375,11
10650,-201,6
976,-1672,2
8919,4823,2
10777,2471,8
7832,5656,5
2532,5372,6
8336,-3207,5
7766,-839,4
2352,5239,3
7688,2268,11
2102,-433,6
6434,2889,9
4419,-1035,9
9864,-1372,7
7028,-2674,3
2010,5719,3
4552,-2914,12
11975,-2618,9
7459,-1875,3
3427,3980,13
10527,4472,12
6875,4345,13
4368,-2636,3
9064,768,9
2213,-3016,8
985,3496,1
4835,1880,5
8973,1061,9
2566,2358,7
7303,-2662,8
9477,-1801,8
3179,2061,2
2743,-2469,5
1342,1180,2
8119,3273,14
5385,1887,5
8964,-2238,6
3812,808,1
230,2590,13
5206,-1121,12
8679,-2325,11
10911,691,11
2114,-1815,4
9663,-2790,1
2305,2962,11
2458,1300,7
8088,-2092,8
2474,-942,10
4859,3919,4
11791,-1622,9
5759,-1216,11
4056,1929,5
10445,-2416,2
6005,4486,10
6616,1415,3
7194,-2414,6
3717,714,11
1561,-201,7
1295,-2209,7
5797,-2685,13
5915,1836,6
10492,2545,8
4048,-123,9
11365,5330,6
10300,-804,1
431,4849,5
2497,-149,10
5516,-1594,6
3673,1006,5
7340,5499,1
8348,-2374,14
8046,4228,2
6162,2596,9
5626,-479,4
6702,885,7
3208,1369,12
7628,4799,1
5616,5363,1
8837,-12,10
3360,-432,3
11902,3333,10
10325,-1064,11
7029,-771,4
5841,2159,13
1415,-386,11
6945,3807,10
3358,2968,12
5136,-1177,2
2303,-842,5
1478,144,4
5329,-2157,11
4957,5585,4
8697,1390,6
7483,1312,5
4548,5688,9
9786,-2082,6
2829,-428,13
4528,-2685,8
139,2720,8
4708,-1243,13
3588,-1857,12
3349,-556,7
11737,5492,11
9534,1906,6
2143,-887,14
6024,4719,5
6157,-681,5
9400,604,7
5406,-2904,11
9832,-2391,11
435,-465,4
6885,795,5
6462,3521,4
5641,945,5
4727,2953,5
2401,133,5
2306,-114,6
7333,3046,9
2189,3002,13
7837,916,10
6485,-65,4
736,23,1
5001,-2723,8
8885,3025,4
1757,-1202,13
1900,-1644,13
8600,-703,10
8124,-209,10
1218,-84,8
10695,-2188,14
6570,1971,13
5727,2036,9
4511,-1103,11
2759,-2096,14
3793,1608,4
8255,4010,11
7235,-116,10
2990,4586,3
6961,-2734,9
5918,4776,4
10262,-164,6
5903,321,13
1596,4943,12
2187,3705,12
8964,3981,6
6534,-2486,7
4544,3005,7
10461,3042,11
11839,1668,5
4791,2861,7
11130,-2435,10
10752,-1496,3
1460,-1675,10
4090,-466,2
11783,-2900,8
5853,-476,11
5449,2740,6
4035,-3110,7
3961,-2328,2
3780,1031,5
4533,4605,2
6709,2714,13
9974,5393,2
2626,2838,7
4740,3668,12
9537,700,5
11137,-1193,4
7153,4157,8
5862,-1839,13
8530,147,11
5664,4405,10
1989,2046,6
2905,-180,11
4665,1782,1
11427,4704,14
10906,2119,4
10172,-1047,14
10248,-2491,8
653,2268,1
10102,-2881,8
11307,-331,11
2198,-365,7
4321,-1954,1
1753,273,13
95,3118,9
4018,-706,2
9967,-956,9
4146,2800,9
9332,3257,5
8899,2255,5
8154,-654,8
7771,-765,5
10932,5439,13
3388,-1095,8
2599,691,5
6169,-1862,2
7541,4697,3
236,1644,2
1700,2029,5
7865,432,13
4609,2395,1
7237,5035,3
5897,-276,8
6913,2276,8
10401,-1608,13
9633,3254,4
775,4822,6
3539,5748,5
10208,2125,1
2739,-830,3
6455,-498,12
10003,4094,9
7003,800,13
5161,2956,11
1996,2327,14
5143,5707,14
10479,2227,9
5094,2295,3
8138,4371,9
7421,3971,12
11133,1738,3
11399,-2484,14
11165,3974,12
3851,291,10
7009,4685,5
8144,1857,13
3569,-1896,1
4660,-3102,12
5392,-2371,3
5467,-1249,3
1620,5820,3
3315,4062,7
7070,2697,10
11125,1920,1
4597,4602,14
4297,-2004,2
901,4601,11
10809,4710,5
976,922,8
4944,3362,7
9898,3916,11
7189,1843,14
4210,-1353,13
9692,5192,8
10700,2332,7
5764,1412,11
4905,-1302,9
8276,647,3
7382,5657,12
10352,3989,3
8291,-1120,5
5591,5051,12
3009,-2966,12
3599,-299,2
3183,1335,9
4049,-1679,5
2016,2623,7
642,-2698,13
10038,3091,1
9187,-426,2
1475,-676,7
4877,-2635,14
471,-1545,7
304,5069,3
11203,3895,8
1052,-2901,2
1536,2278,13
6803,3803,7
5856,5343,1
1514,4444,11
3867,-115,7
8532,5094,1
2957,1273,1
11185,3199,10
5346,170,9
7753,2823,4
3291,716,14
1597,1205,7
503,4018,11
5837,-853,14
4895,4712,4
1025,3916,2
8374,4171,11
4288,-1598,5
1184,3050,11
4644,528,8
5993,1468,1
10309,-88,8
465,-1973,4
1476,2717,11
5472,1517,2
241,-2681,7
6925,-621,12
1079,2086,12
788,-2352,8
7410,-2369,4
11646,4675,2
10759,817,6
990,-2894,3
5188,2849,6
10810,-64,5
5976,3236,11
8671,2091,10
7805,541,8
10216,3861,2
5743,2107,2
6805,-2363,4
8249,2612,4
9004,3791,8
2089,-2296,11
3260,5588,11
8065,18,5
9948,-3171,13
1958,-2362,4
11975,-172,3
4370,-2294,5
7839,4230,11
8888,-3118,13
1873,-125,5
1717,-2699,14
1024,2223,9
11989,-755,1
1440,2869,11
363,-2581,4
8347,5688,5
4736,-1913,13
7621,5560,10
2129,-1899,6
8053,2301,14
5182,4873,9
10777,5001,12
4457,809,8
10052,5487,12
11954,2414,2
3321,4511,11
1762,-3132,4
4376,4249,6
2345,-1297,5
5821,4775,4
6640,-1261,2
6184,1965,14
11291,941,9
6176,2277,14
1650,798,7
1731,-836,10
9242,337,14
2352,2451,12
2830,1946,4
2354,189,2
2278,678,6
1429,1380,14
2561,-972,4
11491,2333,10
3070,-362,10
10008,5541,2
4465,3587,8
7164,5806,6
4213,2690,6
11965,-2052,14
5946,3680,6
1589,-465,12
2094,-85,4
4788,-692,9
6447,948,14
1134,-2397,1
8157,-2239,3
6089,275,11
7196,-2744,3
9962,3061,14
3748,-2759,5
4590,1485,13
3730,-3128,3
6647,4865,11
4558,-3002,7
10019,3309,2
9422,-3100,13
5257,-16,2
258,749,10
5415,3393,9
323,3560,4
7204,3379,4
3113,-2173,9
2107,3420,9
10593,198,9
7487,-3192,11
6415,5506,4
8487,1621,13
3744,-2433,7
11081,4791,6
8750,-1945,2
9201,5693,13
10807,4224,4
10434,3902,8
3493,5420,1
8513,-283,4
8986,-359,3
8794,-298,6
4513,2695,14
4881,3435,6
590,-2948,8
2746,4593,12
7318,2571,2
697,4033,13
8972,1916,3
8996,5282,5
11226,4239,8
5095,-2956,12
6794,5783,3
6215,-2791,12
10676,-496,7
9303,5604,9
2912,4662,7
11487,-3300,1
7613,56,1
8412,2061,4
11647,4253,13
1283,1320,14
1007,-3101,3
2803,3398,3
1001,-243,13
7932,3044,8
8414,196,7
4842,3761,7
5356,-483,12
9247,2619,10
11686,824,12
4345,-46,10
8990,-1055,2
5925,5741,8
3403,2977,14
3992,1451,14
2025,1375,13
1059,-1376,14
432,-2162,3
2041,-1453,1
3270,-1502,11
2467,4888,11
3188,4981,11
6820,4007,12
6796,3154,3
5053,1205,5
7148,-3288,13
1874,1728,14
1014,4525,11
8335,1479,8
2200,271,6
6782,3199,5
316,998,6
11708,2757,12
7578,-436,10
11680,-271,5
2746,2488,6
11980,-3151,2
6596,5893,5
9921,4830,5
9068,552,9
6146,3627,13
6393,3495,12
3883,-2168,9
6113,1890,12
6429,4578,4
4530,-514,12
690,3497,10
8996,169,11
2064,-2459,14
2934,973,10
9123,3440,3
4344,-1730,8
8375,-1390,7
1723,736,12
7707,-1295,7
9055,4192,13
9067,2261,7
9057,-3201,2
2743,-3155,8
2652,2941,14
7013,4928,8
4625,-157,4
10809,4817,7
5071,2531,4
7475,-682,12
4336,5903,9
322,257,7
6679,537,6
10119,1627,4
2630,361,5
3834,2326,9
8725,-2320,7
11046,2039,1
9032,-2954,11
9269,-765,4
8272,-1042,6
4445,5870,2
3071,-2240,8
1923,4967,10
11010,4233,10
3821,-988,4
10457,3006,6
11618,3758,10
3047,-367,8
10836,-353,9
5504,4430,10
4837,1485,8
1463,5647,5
11464,-3063,1
10579,-506,3
9999,2788,7
2202,-2507,10
4391,766,1
8697,5412,11
7709,-1231,9
4942,4925,14
7663,2281,12
11683,-658,9
1090,-923,8
6548,5289,11
2455,315,8
9414,447,9
6566,3722,6
5009,5636,6
2679,1837,9
11328,3334,4
10972,-1683,11
1656,620,13
10415,-328,6
2207,4410,3
10831,-930,1
4199,3851,6
8298,114,10
11772,-583,12
5859,118,10
1595,-1455,3
11083,2766,14
6665,1937,5
665,-2767,9
6569,-223,5
4490,-877,7
11147,116,4
438,1761,8
9807,-1263,1
472,2875,9
10654,-2312,6
4292,-2933,12
10885,-132,13
10312,432,1
6409,-2335,9
4861,-811,8
4907,2419,4
5790,2713,7
1258,1580,1
7913,-793,13
10780,2984,12
4144,1373,2
1205,-2787,10
8133,708,1
2545,3652,8
7884,-802,13
3973,-1396,5
10009,-1440,9
1961,-568,8
7383,638,7
10489,1518,1
11498,-2550,1
10760,371,14
7045,3509,4
8011,2142,7
4160,172,9
5214,2135,7
11188,4782,12
9065,3371,6
7345,3650,8
9629,-680,14
6318,755,2
11575,-2010,14
5347,942,3
5896,5172,5
2925,123,3
10865,1235,13
8684,-3240,4
3138,2704,6
3768,4642,14
2092,3750,14
6921,-991,14
1805,5244,10
1625,-1770,5
4627,-743,4
3994,5106,4
4699,1014,6
7156,2232,12
1924,2448,12
1390,1166,5
1643,5090,2
2930,5027,3
8757,3035,14
733,846,8
1688,2466,7
9591,5864,11
4900,1113,13
5907,5476,13
2159,-2769,12
2574,5534,7
1734,-2431,14
3238,-3237,2
2951,-3166,5
1609,988,6
9137,4017,14
5031,-3238,10
4582,176,12
7301,-3025,8
7298,-2228,14
7926,4759,3
7625,-2637,4
8796,-2225,1
11679,-2564,5
9928,-534,9
10409,1819,1
10039,-1675,6
1284,4174,11
8057,-281,12
3432,3579,3
7788,-1559,10
7398,4550,6
4618,5728,14
11074,2855,7
4666,168,12
9237,1742,8
9547,2152,9
5711,5157,14
865,2874,8
267,866,13
4097,4766,14
9172,-411,8
4618,1549,2
2467,-89,12
9635,2474,8
10520,-1293,2
3337,2622,8
6847,470,7
10275,4349,3
9993,-3009,13
3947,-1404,13
3034,-1126,1
1987,3118,11
7120,4804,5
821,3205,10
11490,332,1
9268,1541,14
8952,4998,4
2115,-2716,7
6252,4135,9
4299,4149,13
9122,-1790,1
5168,1458,5
8222,-3007,4
4969,5688,11
2268,1990,1
7641,869,8
9754,-2999,4
8500,3431,13
9402,-1865,2
2965,-2261,10
6976,-2789,14
3608,1316,8
10046,5697,12
4637,5688,11
7474,2580,13
6626,2026,5
4577,1674,7
2051,3827,14
5734,4750,8
1670,4602,14
4670,-2886,11
3656,5411,6
1716,1452,4
8531,1472,4
2860,-1598,5
4318,2299,2
578,837,2
11962,5843,12
11419,2477,3
10657,9,14
2778,2302,1
2348,1233,5
9239,5464,11
6689,-1676,11
5801,4669,2
5482,-478,12
5084,-2487,10
3452,-1285,11
1300,2446,12
441,710,13
1828,-2000,12
11296,4414,9
3485,3570,4
8680,4676,9
4326,1971,5
447,4043,2
8347,4978,4
2023,-2432,14
4091,-2458,3
5691,-2521,10
2592,124,13
2647,2288,1
10707,-566,3
3485,-607,14
4507,1241,4
7249,1333,6
6525,5158,13
627,755,3
8375,-2127,5
2652,3298,9
5557,2134,11
11304,1830,1
3106,4170,9
4575,4135,1
4160,-151,7
676,-1184,10
4762,-142,4
3835,4644,9
